42-61,42-106,47-77,50-104,53-106,62-96,63-77,64-99,75-79,76-79,76-80,76-178,77-102,77-175,80-176,81-89,81-90,81-174,83-148,83-149,83-150,83-152,89-141,90-165,104-174,105-165,107-110,108-167,113-195,116-122,123-299,123-300,124-225,124-298,124-300,127-223,129-297,131-255,131-256,154-161,156-196,156-210,157-161,158-214,159-195,160-195,161-173,161-175,161-176,168-297,172-174,187-189,191-193,193-239,194-228,194-243,195-218,195-221,197-207,199-207,207-274,208-271,213-229,215-259,217-248,219-255,229-233,232-238,244-269,247-249,251-263,251-264,256-287,256-291,259-283,259-284,297-299,298-300,301-303,27-82,32-55,39-59,40-53,44-47,44-67,44-70,47-70,47-74,47-179,48-70,58-93,65-70,66-70,66-71,68-72,69-72,69-73,70-74,87-170,90-175,94-102,111-161,114-160,115-225,116-218,121-302,121-303,122-301,122-302,123-302,124-126,124-302,128-292,129-294,132-294,133-168,145-154,145-155,145-211,146-151,146-278,147-150,152-177,154-162,155-177,157-159,161-163,165-167,165-168,165-169,167-297,167-298,168-170,169-295,169-296,174-176,176-178,179-183,180-182,180-183,183-185,184-186,189-191,192-194,192-195,193-196,193-240,195-228,197-243,200-206,206-210,208-211,208-276,208-277,223-259,228-250,259-291,262-287,275-283,288-294,293-295,labels
4.51334,2.83109,3.73651,2.92703,4.27318,4.45411,3.77693,4.02397,3.00448,2.90591,2.61342,3.01775,3.29764,2.61166,2.72451,4.13582,3.04659,4.53029,6.98172,8.03743,8.49984,5.51825,4.7687,3.55138,3.32795,2.97942,2.77264,1.82105,2.50103,2.77755,4.84695,4.61724,3.75803,4.87886,2.19977,3.75062,5.92766,2.95644,3.54182,3.01411,4.60871,4.43975,2.13558,3.82916,2.6082,3.14653,4.19228,3.11644,4.78105,5.04026,4.63637,3.86785,3.71434,3.10979,2.52384,2.49856,4.14075,1.954,4.59525,1.93994,2.70341,3.8272,4.6358,2.9062,3.21568,3.82374,3.29237,5.11529,2.74895,5.68046,2.76751,3.05084,3.2308,14.2376,2.26574,2.64614,2.96213,3.77979,5.40775,6.17669,4.96796,4.80872,4.71659,3.91655,7.15365,3.96291,2.79645,5.61842,4.97466,3.96341,6.7216,2.28824,2.66517,4.45863,3.72403,2.68818,4.21522,3.91967,3.2925,5.01147,3.56276,4.32223,4.62672,4.42832,5.12708,3.54124,6.59466,5.38458,2.82148,3.58186,3.21527,2.76815,6.5166,5.77261,5.37238,4.00458,6.99596,6.01721,4.55612,4.93871,3.44674,5.27831,3.68952,7.77847,9.21988,5.15437,3.47215,4.73304,3.60833,4.31068,2.23198,3.63595,4.07135,2.04732,4.05793,2.45457,4.57045,6.0529,4.07925,2.82937,4.35954,4.16953,5.6376,3.87545,2.42202,2.79482,2.0906,4.68871,4.15235,8.65219,6.41441,5.46767,6.53455,6.72546,6.03047,4.94829,10.6672,6.05589,4.72046,9.68945,6.31304,0
4.50087,2.40675,3.87865,2.90264,4.05759,4.99264,3.42611,2.73471,2.81554,3.25684,2.67429,2.48815,3.31927,2.70427,3.20436,3.59876,3.35833,4.14962,7.91593,8.46268,9.79619,4.21792,4.54435,4.16869,3.58957,3.59795,2.85137,1.86268,3.18783,4.78933,5.72662,5.07184,2.66386,4.66051,2.10719,3.35064,6.19649,2.43048,4.39511,2.58305,4.75233,3.59739,3.76457,3.5619,2.60153,3.35246,4.4759,2.70532,4.99733,5.13205,4.3694,3.11434,3.3367,2.34698,2.47972,2.61321,3.16028,1.72091,4.52439,1.90458,3.07551,4.40169,3.87296,4.14492,3.846,3.85918,4.73837,3.16481,5.52375,4.89448,3.13349,3.06411,3.47566,15.1991,2.94757,3.15792,2.90008,3.97974,4.97206,3.46604,4.80238,3.67042,5.13258,4.58899,6.81451,3.94023,2.35872,4.99449,4.83369,2.65028,6.49931,2.55794,3.21749,4.69,4.28281,2.74731,3.97712,4.06736,4.25556,4.95773,4.8138,4.58209,4.41905,5.05443,4.70084,3.52093,5.04633,5.10438,2.23323,3.93912,2.67181,2.10568,6.09348,5.98866,5.32988,4.16664,7.01314,5.97177,5.22922,4.5531,3.98797,4.06822,4.81463,6.45862,9.3815,5.11043,4.06084,4.61515,3.84378,4.04782,2.55912,3.86316,4.08206,2.50711,4.19597,2.58406,4.49393,7.21216,3.21121,4.71574,4.23091,3.98505,5.69125,4.16194,2.48269,3.02385,2.16528,3.84523,4.26948,8.4178,6.10768,5.58258,7.31009,7.77294,5.98983,5.00666,11.7822,4.99577,5.81206,9.39465,6.21448,0
4.11454,2.15821,4.49664,4.66221,4.18573,4.18731,3.81736,4.20195,2.56455,2.86544,2.43992,2.72907,2.57718,3.25339,2.43482,4.03522,4.10189,4.56601,3.19709,4.14582,5.59771,2.12021,4.41153,3.08812,3.08651,3.45463,2.2092,1.71749,3.44991,2.96092,4.2952,3.89772,2.70372,4.99957,2.07521,2.8212,6.35334,2.24362,3.8837,2.37633,3.74795,3.65673,3.77591,4.36115,2.48852,3.07452,4.99294,2.2409,4.94506,5.21529,5.01088,3.84846,4.35877,2.27068,2.54716,3.79829,2.91015,1.84245,4.72515,2.13567,2.41976,3.95876,5.22021,3.94568,4.57504,3.49393,4.17812,3.12993,4.56282,4.16246,2.00919,2.71129,2.71787,14.4558,1.96796,2.75745,2.89515,3.81712,5.0703,4.64498,5.51889,3.78153,4.11415,3.95687,7.44275,4.29476,2.51065,5.63425,3.43675,3.71372,4.63862,3.04464,4.2448,4.68895,4.68591,3.37039,4.99364,4.30604,4.38807,4.44854,4.91285,4.52404,4.38986,4.21125,5.59525,3.10419,5.32358,5.12659,2.86558,4.10501,2.8239,2.59463,5.9249,5.80806,5.39087,5.0707,7.0158,6.54047,5.08405,5.52432,4.33662,5.22976,5.41059,5.35851,9.3871,5.50078,4.07927,4.26126,3.20765,4.34374,2.15317,3.64126,3.64267,2.14312,4.16457,3.26601,4.5536,5.63034,3.99692,4.53746,4.41427,3.80844,5.47981,3.70233,2.68781,2.50487,2.39629,4.45253,4.13866,7.98733,5.71176,5.60547,7.47989,7.76841,5.44276,4.74125,11.0253,6.37927,4.85012,9.74936,6.42579,0
4.65797,2.46239,4.84954,4.74151,4.63559,4.1814,3.46,3.15445,2.70688,3.39992,2.8488,2.48732,3.00743,2.82691,2.44736,3.89717,2.90788,4.40121,4.92428,2.19683,5.15414,3.62663,4.63947,3.84448,3.13244,2.71528,2.25665,1.82374,2.52416,2.63961,5.15719,4.68205,2.60061,4.43821,2.42515,3.51769,5.70386,2.44557,3.45586,3.07471,3.8092,3.62535,3.55456,4.40229,2.85617,3.01796,3.69341,2.85998,4.69634,5.01173,5.00048,3.94071,4.05975,2.28729,2.92274,2.46627,4.20966,1.85584,4.64397,1.66349,2.87966,4.31825,5.78751,4.16933,4.46589,4.0269,3.91999,2.78793,5.22328,4.75414,2.95356,4.04853,3.25241,14.3499,2.65412,3.64304,4.95467,3.82906,4.94101,3.02531,4.73967,3.51232,4.41333,4.60543,6.67206,3.86635,2.13426,5.54568,4.99958,2.97728,6.01471,2.60143,2.61475,4.2485,3.10661,2.68845,4.4254,4.29952,4.20944,4.13088,3.97991,4.51334,4.8555,4.5848,4.77103,3.40837,4.66832,4.53452,3.40294,4.15911,3.23372,2.25848,5.67746,6.82117,6.10486,4.31211,7.213,6.09878,5.13149,4.767,4.00414,4.23596,2.75276,7.26752,9.45074,4.4667,4.20569,4.95631,3.95309,5.38956,2.38852,3.54088,4.14372,2.18543,3.74321,2.57487,4.13242,6.47319,3.13987,2.75609,4.04162,4.66063,4.9684,3.96993,2.58189,2.14713,1.98488,4.7351,4.85596,8.36988,5.90634,5.04553,6.38365,6.67873,5.83668,4.50906,11.5194,5.69589,5.6328,10.5528,6.26893,0
3.97741,2.91885,3.50209,4.98714,4.07415,4.83855,1.76321,4.52595,2.98691,2.49516,1.91183,2.74819,2.96249,4.01913,2.96008,3.96002,2.9829,4.72707,3.36984,3.98278,5.10306,3.24586,4.36756,3.362,3.75591,2.93483,2.46856,2.01331,2.50999,2.59056,3.88632,3.7076,3.18109,5.0579,2.60397,3.14482,6.04122,2.53317,3.68688,2.99849,4.61567,3.91198,3.29015,4.03849,2.70294,3.31128,3.56276,3.05155,5.00283,5.11213,4.98825,3.32615,3.57775,2.47985,2.43931,2.96136,3.71234,1.89875,4.37176,1.98148,2.95955,3.96655,4.24915,3.71755,4.54976,3.5798,4.12176,2.30889,4.69239,4.76118,2.6485,2.55431,2.75824,14.5466,2.13422,3.20586,2.96693,4.20044,5.37213,2.38895,3.69179,4.22143,4.48373,5.72071,10.5619,8.00093,2.63922,5.62442,4.88109,4.27698,3.57815,2.65763,3.14866,4.40206,3.42011,2.48376,4.40149,4.11254,4.78941,4.25302,4.54001,4.60558,4.96115,4.95822,4.27272,3.61697,5.08676,4.91629,2.38822,3.54586,2.26532,2.69531,6.09367,6.21853,6.10679,4.3888,7.04106,6.11592,5.06431,5.32974,4.44815,4.36484,3.48147,7.54062,10.007,5.24246,4.0563,4.12029,3.50459,4.61972,2.15192,3.67692,4.11762,1.89225,3.97211,2.49763,4.15991,5.23603,3.19815,2.5334,3.96283,4.12451,5.58744,3.53011,2.76082,2.81569,2.33775,4.90827,4.20524,8.50248,5.86539,5.42167,6.33788,6.81302,5.72403,4.58139,11.8119,5.72615,5.35708,10.4146,5.94185,0
4.79362,2.95501,3.89303,5.00924,4.39812,4.36362,1.99415,3.74618,3.12041,3.07474,2.53037,2.41508,2.61235,3.13407,2.90851,4.04627,3.04973,4.08642,3.76155,4.44284,6.12459,3.33472,4.12122,3.20332,4.66192,2.72046,2.27849,1.74056,2.77663,2.80857,4.90722,4.89211,2.68659,4.43027,2.32828,3.78128,7.0698,2.33315,3.34408,3.19195,4.18803,4.5386,3.60962,3.90238,2.75935,3.01204,3.51836,2.99095,4.91182,5.37944,4.73117,3.57777,3.54985,2.42262,2.40592,2.76301,1.90476,1.82195,4.70906,1.74662,2.47706,4.182,4.0038,4.10641,3.76325,3.21863,3.63806,3.37775,5.28675,5.10629,2.7643,2.02097,2.51479,13.8447,2.32313,2.72561,2.71335,4.14972,4.59268,6.43968,3.53432,3.55075,3.99258,4.81278,6.66917,5.64666,3.12134,6.37703,4.9014,3.37169,4.77649,2.27732,2.04039,3.95578,3.23425,2.52884,4.64214,4.74517,3.66259,3.86914,4.54624,5.22731,5.52552,3.9065,4.45276,3.30559,4.59774,5.31177,2.25636,2.9515,2.38798,3.10423,4.93507,6.17616,6.0691,3.93166,7.02371,6.14643,4.96791,4.30933,4.08222,4.93634,4.70968,6.90787,9.21036,4.50668,4.29174,4.07543,3.2936,5.03117,2.56445,3.2907,3.83437,2.14622,4.31697,2.68993,4.18128,6.58561,3.28979,2.49188,3.87178,3.95009,5.25679,4.29807,2.49627,3.02839,2.07575,4.34882,3.9387,8.28549,6.13118,6.03652,6.36491,6.67557,5.22863,4.19337,11.4585,6.02495,4.65744,10.0784,6.04367,0
4.75037,2.17528,4.40233,4.37476,4.45807,4.34286,1.74372,2.25282,2.87771,2.42763,2.85683,2.39469,2.53883,3.12698,2.56141,3.86589,3.76555,4.80247,5.76129,5.94946,7.25685,2.73726,4.49425,3.10394,3.59758,2.71229,2.56398,1.81515,2.96261,2.67141,3.98009,4.5361,3.00171,4.64003,3.34653,3.01058,5.80089,2.26335,4.43805,3.12905,4.70621,4.63499,3.12788,3.82122,2.90982,2.7909,4.09606,2.65142,4.72784,5.06096,5.00465,3.98037,4.40938,2.46339,2.75951,2.45021,4.72656,2.45092,5.04839,1.80115,2.4346,3.89231,3.67539,4.45095,4.26886,3.12538,5.87938,2.33688,4.74034,5.6161,2.4153,3.56345,3.45102,15.083,3.70647,3.24458,2.22431,3.50134,5.90625,6.86799,4.40875,3.60188,4.38886,4.89398,7.57778,6.94162,2.61578,6.29533,4.99856,2.21952,5.29261,2.08722,1.95618,4.41844,2.8811,2.66279,3.96414,4.13379,4.01332,4.86184,5.11326,5.09103,4.9114,4.39572,5.14505,3.13531,5.53494,4.8089,2.33384,3.58528,3.10785,2.22755,6.53315,6.15463,5.8423,3.8193,7.07595,6.15329,5.27965,5.30211,4.2693,4.4341,5.19731,7.83929,9.45134,4.7565,4.51248,4.37415,2.92053,4.60953,2.50264,4.14507,3.53071,2.00776,3.69039,2.79077,4.35227,5.2293,3.72762,2.32491,4.06396,3.83149,5.10048,3.77869,2.34783,2.94293,2.2693,4.86515,3.58051,7.85833,6.04979,5.68317,6.53342,6.7482,5.06274,4.5419,11.692,5.45077,3.84311,10.4773,6.57831,0
3.76265,2.50319,3.98255,3.7771,4.38625,4.62458,1.72272,4.472,2.77919,2.77026,2.70859,2.29119,2.31153,3.23347,2.75696,4.96124,3.28745,4.8166,5.84664,5.19958,6.69821,2.82245,4.08489,3.88983,3.41969,2.55977,2.32702,2.08202,3.33836,3.02154,3.70781,4.38514,3.06209,5.09476,2.25507,3.25201,6.53685,2.67702,4.58848,2.74811,3.36502,4.24751,3.2005,3.87775,2.77302,3.08944,3.75985,2.13887,5.03388,5.10414,5.24649,3.8269,3.92729,2.46889,2.33345,2.96421,3.5504,1.94804,4.84732,1.91195,3.24867,4.12098,3.70671,5.43904,3.761,3.84436,4.97271,2.71736,5.09326,4.35578,2.8502,4.16807,4.17557,15.4749,3.57447,4.62059,3.12483,4.17208,4.89777,4.85343,3.64241,4.37257,4.49667,6.68361,10.2824,9.05479,2.62638,5.80717,4.33211,3.02404,5.99371,2.43575,1.81789,4.43582,3.04268,2.19992,4.4095,4.33652,3.71878,3.93652,4.82537,4.78737,4.84839,3.67777,4.72492,4.56737,7.32976,5.00376,3.99045,3.70287,3.56239,2.69525,5.33236,6.27751,6.03152,4.12202,7.04459,6.05858,5.48937,5.38593,4.35743,4.68323,3.8406,5.81279,9.41599,3.90198,4.47046,4.29047,3.64854,4.45788,2.58872,3.80406,3.63648,2.16212,3.82089,2.80558,4.30624,6.83777,3.47458,2.55738,4.16646,4.35988,5.44063,4.06241,3.16043,2.68494,2.00463,4.22815,4.60482,8.88766,5.89268,5.98027,5.59081,5.99968,5.64776,4.39657,12.4492,4.93354,4.92756,10.2713,5.87095,0
4.29455,3.22367,4.52862,2.35842,4.13708,4.18094,1.66122,3.26638,2.8328,3.31684,2.15566,2.52321,2.18959,3.52638,2.29871,3.39706,3.37761,3.63762,2.59488,3.84461,5.27231,3.43311,4.69722,4.33598,3.96891,2.60985,2.82087,2.0844,2.97594,4.18092,3.63808,3.53632,2.79528,5.45726,2.33663,2.92332,5.9581,3.31034,3.92147,2.68923,3.36515,3.94636,3.44089,3.57681,2.65553,2.9543,3.07702,3.13158,4.57957,5.17273,5.16674,3.66985,3.6736,2.95948,2.36709,3.29795,4.78845,2.00647,4.58844,1.59018,2.71922,4.29516,4.32291,4.76451,4.71612,3.38067,3.9631,2.79669,5.17983,5.11821,3.00896,3.01004,3.33478,14.6314,2.88126,4.50457,2.84788,3.93556,5.14964,5.14047,3.97522,4.44905,4.72026,6.48115,9.73198,8.15352,2.06888,6.04494,4.54753,3.4212,5.08533,2.16932,2.08955,4.47824,2.61386,2.60508,4.33581,4.08198,3.74116,5.15145,3.8759,4.533,4.77546,4.52522,5.4501,4.15652,7.86239,3.95144,2.87363,4.51173,3.02084,2.10688,5.0516,6.23408,5.63549,3.99319,6.65503,6.56189,4.74262,4.91739,4.02629,4.28691,3.99957,6.62965,8.258,4.96927,4.09526,3.8337,3.64157,4.30232,2.58972,3.80418,3.85354,2.61293,3.9616,2.884,4.16772,6.4069,3.59108,4.50406,4.53132,4.18964,5.79709,3.74769,2.57762,2.45972,2.08043,4.49888,4.29836,7.04452,4.70843,5.52805,4.93289,5.61835,6.27695,4.24012,12.2198,5.77593,4.51746,9.64522,6.66078,0
3.65747,2.28475,3.78029,2.01497,4.59439,3.17865,1.83234,2.20305,2.64141,2.71913,2.84478,2.3829,2.91174,3.33512,2.6644,3.97615,3.52946,4.26769,2.54641,4.31167,6.06185,3.24131,4.09764,3.31677,3.96279,2.73895,3.10482,1.79971,3.0481,2.46254,5.17188,5.0714,2.75757,5.08092,2.68456,2.50583,5.3803,5.40904,4.62557,2.47151,4.62094,4.589,3.48277,4.05354,2.76373,2.96972,3.49997,2.45384,5.19962,4.58905,5.25533,4.09271,4.0412,2.37762,2.59687,3.26586,3.80075,1.65325,4.60733,1.86715,2.27387,4.79157,3.5421,5.55348,4.2369,5.6788,3.63791,2.5695,4.98133,4.79877,3.08915,2.2237,3.89441,15.7994,5.09971,3.94393,4.24669,3.95605,4.51969,7.05881,4.79928,4.76296,4.73998,5.45244,8.74102,6.21105,2.4155,5.2284,2.63029,3.13763,5.73282,2.73058,3.25354,4.59827,3.30879,2.54995,4.05828,4.04558,4.01299,5.08704,4.42158,4.52358,4.53239,4.10052,5.57455,4.04619,6.73149,4.41966,3.01846,3.70427,2.32568,2.68517,5.51197,6.41136,6.50713,3.924,7.02764,5.52486,5.36805,4.92558,4.42778,5.34431,4.09162,6.07502,10.2698,4.83377,3.50694,4.17298,3.45761,3.79717,2.03809,3.98713,3.77691,2.32786,4.14735,2.38811,4.278,6.63726,3.47621,5.01904,4.3206,4.41036,5.83536,3.75796,2.54612,2.99118,2.25247,4.55735,4.52807,8.4462,5.8574,5.22759,5.66075,6.18365,4.57229,5.25162,13.362,5.5784,4.28343,11.7586,6.02668,0
