42-61,42-106,47-77,50-104,53-106,62-96,63-77,64-99,75-79,76-79,76-80,76-178,77-102,77-175,80-176,81-89,81-90,81-174,83-148,83-149,83-150,83-152,89-141,90-165,104-174,105-165,107-110,108-167,113-195,116-122,123-299,123-300,124-225,124-298,124-300,127-223,129-297,131-255,131-256,154-161,156-196,156-210,157-161,158-214,159-195,160-195,161-173,161-175,161-176,168-297,172-174,187-189,191-193,193-239,194-228,194-243,195-218,195-221,197-207,199-207,207-274,208-271,213-229,215-259,217-248,219-255,229-233,232-238,244-269,247-249,251-263,251-264,256-287,256-291,259-283,259-284,297-299,298-300,301-303,27-82,32-55,39-59,40-53,44-47,44-67,44-70,47-70,47-74,47-179,48-70,58-93,65-70,66-70,66-71,68-72,69-72,69-73,70-74,87-170,90-175,94-102,111-161,114-160,115-225,116-218,121-302,121-303,122-301,122-302,123-302,124-126,124-302,128-292,129-294,132-294,133-168,145-154,145-155,145-211,146-151,146-278,147-150,152-177,154-162,155-177,157-159,161-163,165-167,165-168,165-169,167-297,167-298,168-170,169-295,169-296,174-176,176-178,179-183,180-182,180-183,183-185,184-186,189-191,192-194,192-195,193-196,193-240,195-228,197-243,200-206,206-210,208-211,208-276,208-277,223-259,228-250,259-291,262-287,275-283,288-294,293-295,labels
3.82132,3.4287300000000003,2.84587,5.1581,5.19794,4.102609999999999,6.957439999999999,4.15717,2.85116,2.56359,3.41241,6.595039999999999,3.5696800000000004,8.17344,4.84209,5.5697199999999984,6.91201,6.35047,2.80351,3.35661,2.64632,3.27349,4.95523,2.8151900000000003,4.2843300000000015,2.8943,2.25239,2.11513,3.40422,5.8403199999999975,4.96242,4.43329,6.600739999999999,4.56112,4.74052,3.69302,4.91181,2.93189,4.5804300000000016,5.33979,5.80665,4.4205,5.08133,4.21593,2.71313,3.17271,3.87728,2.82443,4.33939,4.64845,4.45682,3.97495,6.15837,2.54434,2.73438,3.45856,3.28263,2.08272,7.38917,5.42588,6.33488,6.7896800000000015,5.51543,3.9581,3.34482,3.38907,3.28904,2.41251,4.73419,5.07401,2.73259,2.81658,4.57594,3.22876,5.44506,3.90442,5.6220300000000005,4.53396,3.79534,2.64337,5.49918,5.687819999999999,6.10588,6.72477,6.32156,6.98002,2.3652,2.77425,2.30852,4.3827300000000005,3.62039,2.53236,3.58301,2.89359,3.935880000000002,2.71545,4.40805,4.19644,5.53175,4.7945400000000005,5.11062,4.1305,4.61447,3.18303,3.84203,2.56232,3.23119,4.2286800000000015,3.56916,3.18986,2.2908,2.81635,2.31263,2.20576,2.45718,4.71065,2.10666,4.26941,4.60744,4.17199,3.67023,4.27257,2.6897,4.3041,3.1061400000000003,5.08255,3.36286,4.13891,3.66705,4.32899,2.66224,3.9698,4.13318,2.81841,3.91675,3.15771,3.81416,3.49214,4.1832400000000005,2.16678,4.58495,4.20962,3.54191,3.0432,2.78307,1.9483,3.14062,4.81497,3.53472,2.55821,3.23448,3.2665900000000003,2.14937,2.37054,4.63703,4.2328800000000015,2.55321,3.73152,4.29235,3.22434,3.91005,1
4.70453,3.91085,2.45441,5.45995,5.25205,4.782369999999999,6.83168,4.39619,3.28716,3.08284,2.78861,6.3769,4.04778,7.42882,5.09966,5.62175,6.60214,6.53892,3.45658,3.54681,2.98023,3.65667,4.45179,2.62355,4.17265,2.4847,2.79145,1.98778,5.7563,6.06227,4.26951,4.35716,6.67943,4.57177,5.1677300000000015,3.79142,4.39198,3.79377,5.05093,4.11533,5.90074,4.85019,4.20381,4.0769400000000005,3.3323,4.279669999999999,2.78023,2.90467,3.14837,5.10227,4.62889,3.75099,6.057,2.25379,2.51399,2.54377,3.4526800000000004,2.78722,5.56306,4.77315,5.34112,7.32977,6.44038,5.17137,3.37169,4.3929800000000006,4.278969999999998,4.98841,5.61966,5.31615,2.3917200000000003,2.32675,5.04321,3.48742,5.30646,3.4094800000000003,5.42915,4.67224,3.6454,2.59217,5.11733,5.66403,5.214,7.1123,8.92022,9.5697,2.55713,3.81428,2.04946,3.90872,2.85333,2.24771,3.47899,3.09402,3.58831,2.39028,4.53284,4.9661300000000015,6.02077,4.96425,5.1466400000000005,4.30101,5.4633400000000005,3.25864,3.68081,2.94401,3.80683,3.90573,3.66954,3.38785,2.56191,2.85026,2.6977900000000004,2.26717,3.55027,5.11736,2.03779,4.21426,4.98072,4.60026,3.38477,5.00208,3.05695,4.838769999999999,2.32493,5.17047,4.19416,3.57575,2.99741,4.02285,3.3267,4.69827,4.14626,3.59055,4.61031,2.23821,3.56857,2.93355,4.51767,2.9784900000000003,4.124569999999999,4.19776,3.46409,2.5622700000000003,2.58888,3.03905,2.20712,4.11621,4.83869,2.74307,3.01885,2.56651,1.68598,1.86528,4.50454,4.83245,2.7966900000000003,3.74043,4.6780800000000005,4.14712,4.03755,1
3.84844,3.09659,2.87772,4.690869999999999,5.05124,4.14763,6.2597,5.17373,3.04265,2.63791,2.20654,6.69385,3.7382800000000014,7.16471,4.534669999999998,4.40054,5.90794,5.7159,2.99363,3.0710900000000003,3.10188,3.65754,5.24802,2.31687,3.833180000000002,2.42482,2.48151,1.84378,4.64848,6.48602,4.27704,4.28489,6.59709,5.0425,5.91826,3.9766,5.24183,2.3894,3.81649,5.06429,5.37527,4.2712900000000005,3.91938,4.10821,2.58442,3.16416,3.07185,3.3543,4.17015,4.70454,5.03752,4.0702300000000005,5.84403,2.53235,2.67168,3.22397,3.33423,3.06564,6.21629,4.43012,5.1818300000000015,7.69533,4.8970400000000005,4.19485,3.15996,3.11911,3.51931,6.08297,5.56734,5.22144,2.47487,2.86412,4.40155,2.76519,4.23825,3.14967,4.74444,4.95373,4.7493300000000005,5.65656,4.1544300000000005,4.46796,4.00801,7.09985,8.773760000000001,8.02369,2.41923,2.72147,2.59232,1.85087,3.73844,2.35045,3.72637,2.83508,3.98125,2.25248,4.40919,4.30486,6.10077,5.09659,5.23108,4.99507,4.99064,3.5183800000000005,4.42532,3.22998,4.67225,4.2083,3.18004,3.21488,2.54641,2.55444,2.17077,1.97405,2.55484,5.36161,2.56231,4.25975,4.10873,4.41374,3.72388,5.06657,2.34471,4.71242,2.92523,4.81591,4.13891,3.70556,3.2801,4.79289,3.60219,4.39544,3.85586,2.16758,2.98964,3.2902,3.78145,3.86117,4.17553,2.28646,4.31528,4.40157,3.4764,2.3780900000000003,3.12388,2.60889,2.38404,3.6618,4.14844,2.25334,3.50937,2.55897,1.80969,1.75404,4.89475,4.9744,4.1011,3.91678,4.39636,4.1783800000000015,3.83324,1
4.79277,3.58657,3.1689700000000003,5.18964,4.841,3.99015,6.53678,3.61107,2.5239700000000003,3.04125,2.34374,6.31821,3.60484,7.680110000000001,5.62854,5.17686,6.46542,5.81862,4.5498400000000006,2.11761,3.70572,2.56212,5.2695,2.5274400000000004,3.26955,2.62801,2.73448,1.79178,5.40132,6.49602,4.2629,4.06139,6.7857,4.05143,4.92679,3.89085,5.35286,3.17705,5.14426,5.073919999999998,5.05566,4.89299,4.65604,4.0384400000000005,2.7244900000000003,4.12812,3.60212,2.86201,3.66087,4.86144,4.88227,4.3463,6.10766,2.15852,2.27747,2.83131,3.38599,3.43402,6.04379,5.0501,5.22731,7.525989999999997,5.00304,5.44565,4.16841,4.01295,4.63482,3.02889,6.47169,4.47349,3.19067,2.43668,5.02679,4.69799,5.34721,3.23371,4.473,4.9034,3.82621,5.05797,5.11516,5.01485,4.89735,7.51558,7.56885,6.979539999999999,2.61075,2.43008,2.67146,3.27217,3.63514,2.32803,3.60536,2.77566,2.45407,2.4023,4.11406,4.0292,5.20464,5.03084,5.33217,4.9741800000000005,5.7279300000000015,3.24586,3.25568,2.68968,3.72483,3.70747,3.10633,3.1048400000000003,2.80667,2.633,2.4384200000000003,2.44877,2.6839,4.49259,2.36364,4.476459999999999,4.28885,4.71812,3.97595,5.57388,4.75936,4.89585,2.0209900000000003,4.70368,4.096419999999998,4.72213,2.99004,4.87411,3.06266,3.85389,3.5625,2.97303,3.90803,2.04318,3.80618,3.64164,4.45196,2.173,4.5681400000000005,4.59816,4.36978,2.3946400000000003,3.06702,2.85954,2.21076,4.95247,4.48506,2.04514,3.1936400000000003,2.99045,1.68144,1.97278,4.78735,3.92667,2.64395,4.40753,4.279669999999999,4.887569999999998,3.47281,1
5.98612,4.36261,2.75447,5.81053,3.91848,4.19436,6.70903,4.04662,2.43568,2.56783,2.2951200000000003,6.30018,3.12514,7.503310000000001,4.45407,5.50691,5.12079,5.85956,3.83903,2.63215,3.60711,2.79564,4.99271,3.01389,4.80196,2.8807,2.50837,2.12076,5.0232,6.76151,4.34013,4.00943,6.42172,4.73671,5.57805,4.00669,4.9088400000000005,2.6236900000000003,4.62326,4.54314,5.1427,4.59106,4.02786,3.63149,2.62443,3.65476,4.10807,2.71713,3.40447,5.11065,4.697780000000002,4.04239,6.2135,2.51507,2.41244,3.1389,3.43586,3.36877,6.61892,4.71572,5.80876,6.872139999999999,6.00045,5.85776,3.49085,3.6554,3.2819300000000005,5.49509,5.8049800000000005,4.9703300000000015,2.72022,2.61605,4.66591,4.70946,5.40934,3.26443,4.83859,4.48114,3.67244,5.35545,4.49326,4.312069999999999,4.61716,6.21119,7.167160000000001,7.291,2.21749,2.97894,2.74788,1.82079,2.80736,2.26423,4.24676,2.45298,3.96227,3.53474,4.8524,4.56249,5.28491,5.03314,5.7385699999999975,5.10346,5.17155,2.99304,3.79579,2.92847,3.69299,4.12636,3.88974,3.23997,2.76327,3.36009,2.30367,2.34636,2.43751,4.37111,2.04984,4.04936,4.26157,4.82032,3.85768,5.22335,3.31146,5.19731,1.94901,5.17575,4.61807,4.06654,3.70357,4.92459,3.91143,3.85494,4.02619,3.08657,4.34889,2.78685,3.80574,3.15499,4.088509999999999,2.32099,4.423369999999999,4.28701,4.07749,2.17051,2.49542,3.42757,2.3752,5.34744,3.94366,2.23345,3.55552,2.73356,1.66661,1.76805,5.3225,4.26109,3.0460700000000003,3.2818400000000003,3.88892,2.96158,3.32024,1
4.60052,3.80121,3.4346400000000004,5.43651,4.74983,3.21491,7.25564,4.10416,3.12936,2.22151,2.87004,7.21267,3.17702,6.719689999999999,3.50661,5.27804,6.47863,6.750319999999999,3.61659,3.04967,3.07215,2.46501,5.04617,3.05818,4.93341,3.14549,3.0471,2.16781,4.71133,6.04063,4.174169999999998,3.78072,6.86786,4.91372,5.52481,3.5991800000000005,5.082319999999998,2.18581,3.97404,5.49682,5.4924,4.64473,4.2415,4.07331,2.92949,3.61874,3.65144,2.30443,4.25802,4.23528,4.51244,3.83025,6.29856,2.21935,2.39344,3.92402,3.16637,2.9829,6.3007,5.08334,5.55755,7.78257,5.4246300000000005,4.06386,3.4177,3.655980000000001,3.75609,3.08602,6.08044,4.82268,2.54391,2.33606,4.07038,3.27903,4.7106900000000005,2.42354,5.6376,4.81122,4.260759999999999,7.23003,5.15575,4.870369999999999,4.40525,6.28418,5.803,5.90701,2.33435,2.89902,2.5022,1.87791,2.51384,1.98399,3.80402,2.38039,2.89696,2.23698,4.25127,4.5038,6.07604,4.34368,5.2258,4.77079,4.82414,3.58521,3.75032,2.77042,4.17183,3.65224,2.74262,3.33151,4.07164,2.70518,2.8171,2.51751,2.49591,4.49607,2.0015400000000003,4.06934,3.66656,4.55347,4.2828,4.6219,3.51389,5.21245,2.19718,5.07916,4.14976,4.05549,3.43564,4.44502,2.43296,4.38321,4.02065,3.03493,3.93401,3.79738,3.82667,3.674830000000002,4.32302,2.53923,4.61081,3.81409,3.209,2.15988,2.30673,3.3961900000000003,2.16208,6.06987,5.06657,2.68119,2.91514,2.17636,1.76456,2.08183,5.4653300000000025,4.71643,2.84921,4.385619999999999,4.35,3.52437,3.56246,1
4.6238800000000015,3.40071,2.81767,5.29839,4.18276,3.57242,7.669510000000002,4.84813,2.74288,3.14748,3.33566,6.54586,3.42314,7.42755,4.97282,5.67881,6.64412,5.83176,3.80279,2.60005,2.84818,2.52016,4.71314,2.68993,4.95632,3.34261,3.31556,1.98497,3.82886,6.10609,4.78838,4.3865300000000005,6.42742,4.66352,5.3924,4.12731,4.91362,2.56853,3.8355,4.33115,5.28455,4.64447,3.88648,4.17136,2.39073,3.05603,3.52306,2.6667400000000003,4.022480000000002,4.22699,4.93052,4.04012,5.74671,2.07021,2.65069,3.63966,2.56038,1.85587,6.0424,4.2866800000000005,5.03787,8.03395,4.46658,4.22751,3.89119,3.64951,5.38126,3.22202,6.4210400000000005,4.92395,2.6600900000000003,2.12215,4.6890800000000015,3.30482,6.31924,3.2468,5.93498,4.427,3.98874,5.58105,3.69732,4.18372,4.5147900000000005,7.77601,6.3826,6.7058,2.8218,2.16435,2.05507,4.22619,3.00691,2.32691,3.4419800000000005,3.0441700000000003,3.61331,2.83058,4.59694,4.47472,6.4174,5.24608,5.28824,4.65586,4.9881,4.13416,3.79891,3.07262,3.91415,4.18611,3.49651,3.33253,3.24508,2.90116,2.53322,2.46287,3.03778,4.53218,2.17904,4.3259,3.81915,4.68555,4.44848,5.38598,4.39679,4.51858,2.82115,4.73334,4.24308,4.02399,3.32717,4.310309999999999,2.82817,4.36897,3.53411,3.51289,3.71812,2.7053,3.87991,3.22237,4.03186,2.12643,4.237769999999999,4.04761,4.09031,2.61555,2.66986,3.4730000000000003,2.21885,4.98366,4.01596,2.1869400000000003,3.19398,2.75131,1.7786799999999998,1.94174,4.78576,4.95506,2.10945,3.63167,6.07045,3.71942,3.54885,1
4.43192,3.8782,2.63754,5.77524,5.2173,3.825,6.16475,5.60092,2.5882,2.62546,2.72318,6.7268300000000005,3.702280000000001,6.8022199999999975,5.00485,4.83329,6.1992,5.165369999999999,3.68961,2.99771,3.00157,2.62785,4.77686,2.34112,3.41917,2.80249,2.7025900000000003,2.09536,2.67636,5.92989,4.43341,3.78296,6.4701,5.63472,5.35835,4.03394,4.95475,3.94819,5.09554,4.485130000000002,4.86885,4.89059,4.15753,4.33258,2.57915,3.17463,3.2906699999999995,3.06136,3.60345,4.2287300000000005,4.9232,4.31874,5.83237,3.10832,2.78987,3.3914800000000005,3.46956,2.73849,5.9024199999999984,5.03205,5.37911,7.73445,4.6182300000000005,5.54947,3.90008,4.77447,4.87763,5.61957,6.01879,4.38847,2.5158400000000003,2.3898200000000003,4.60884,5.082269999999999,5.72172,5.12607,5.58936,4.36906,4.17456,4.80592,4.80215,4.10144,4.83093,8.30616,6.87977,7.17485,2.62748,2.39676,2.51207,4.34556,3.50007,2.8021700000000003,3.04306,3.32702,3.61756,2.40424,5.6473900000000015,5.49716,5.09556,5.14533,5.60128,4.85902,4.79293,3.4075,4.23579,2.98646,4.04276,4.24485,2.90172,2.66273,2.78762,2.65329,2.70612,2.49921,2.74373,4.63065,2.1277,4.47461,4.38373,5.24236,4.58467,5.15913,5.18564,5.3357,2.1449,4.8136800000000015,4.05734,3.84974,2.8895,4.69638,2.09856,3.5455400000000004,3.3249,2.51645,3.15696,2.64262,3.7916,3.63738,3.99646,2.55961,4.2541400000000005,4.2052,4.02695,2.53911,2.76282,3.38025,2.16264,4.96271,5.10537,2.61423,3.42912,2.3822400000000004,1.61463,2.16107,4.8162,5.0075400000000005,3.35265,4.484369999999998,6.42156,2.87608,3.76225,1
5.42514,3.49887,2.8071,5.4233,4.92935,3.89916,5.94868,4.8545,2.87627,2.5735200000000003,2.89458,6.1911,3.58699,6.35188,2.66289,5.12987,5.93347,5.31252,5.61406,5.27175,4.7605900000000005,2.8438,4.76101,3.05997,4.0137800000000015,2.80757,2.78403,1.94282,2.25396,5.97314,2.99674,4.72079,5.64285,6.4611,6.24274,3.5971900000000003,4.90088,2.39091,3.97292,4.30283,3.15903,4.5888300000000015,3.83829,4.21539,2.59178,3.12646,2.68514,3.20889,4.18387,4.50994,5.12115,3.45042,5.543769999999999,2.26135,2.39998,3.89384,3.75572,2.68198,5.77853,4.42401,6.25894,7.3295,3.49981,3.91244,3.36533,3.36451,4.12329,3.11499,4.81763,4.8125800000000005,2.73379,2.1901,3.88268,2.70115,4.1574,2.64872,5.51112,4.9570300000000005,4.22544,4.46588,5.31096,4.12254,4.27737,5.00568,6.46101,5.44172,2.58755,2.85708,2.45086,4.03174,2.58536,2.61683,3.19462,3.68909,2.4398,2.43234,4.53504,4.63632,5.61125,4.61908,5.09395,4.86022,5.00861,3.46239,3.76135,2.48389,3.3590800000000005,3.62226,3.51893,3.04788,2.01724,3.94177,2.35393,2.69771,3.07159,4.84813,1.92303,3.81884,4.59039,3.88873,3.75765,5.20895,5.29392,4.97675,2.2141,4.85065,3.72161,3.7901,2.83129,4.10836,2.6037,4.07147,3.1256,2.55169,2.80616,3.9377800000000014,4.0366800000000005,3.30957,4.314019999999998,2.5019,4.33031,4.06252,3.2758,2.88604,2.66859,3.24578,2.35067,4.9191,4.62005,2.40809,3.51785,2.77778,1.7555599999999998,2.1091,5.27779,4.9156900000000014,2.16458,5.08159,5.17685,4.75566,4.57949,1
4.10683,2.81734,2.65662,5.86566,4.41825,3.5360400000000003,8.2093,3.81876,2.44155,3.24985,2.76665,6.5692,3.87749,7.270689999999999,3.65769,5.5678,6.22659,4.59605,5.22366,5.55009,4.5145,2.79002,4.52179,2.63539,2.96273,3.0562400000000003,2.79856,2.11233,2.62154,5.77131,4.23259,4.02002,6.9200800000000005,4.45585,5.27144,4.31833,4.7301,2.60823,2.9855,4.38882,2.97197,4.65698,4.41377,4.17139,2.66791,2.52925,2.8827,3.72912,3.8685,4.67379,4.80251,4.25735,5.356330000000002,2.3317,2.92605,3.43427,2.3434,1.74531,6.1314800000000025,4.44859,5.56767,6.82424,4.40714,3.6732,3.98526,3.82597,4.4532300000000005,2.7862,5.140569999999999,5.17209,2.99342,2.86341,3.53459,3.00125,3.9856,2.0898,5.69827,4.34778,3.9922,2.5032,5.12187,3.90914,4.25364,8.10178,7.1541,6.729210000000001,2.21995,2.1436,3.06486,4.09825,2.78557,2.05372,3.26201,2.20339,2.96789,2.5131900000000003,4.10654,3.84243,6.2084800000000016,4.86565,5.42425,5.34375,5.48033,3.69685,3.70959,2.74701,3.88846,3.67924,3.79065,3.45832,3.26422,3.17058,3.37162,2.25445,2.4629,4.90279,2.35764,4.157369999999999,4.41418,4.6799800000000005,3.44018,4.87566,3.26381,5.33014,2.52502,4.38266,4.4783800000000005,4.398619999999998,3.2856,4.23595,2.66035,4.05441,3.14366,2.79095,3.45047,3.42531,3.67537,2.72128,4.7538800000000005,2.1367700000000003,4.3387,4.378,4.46264,2.3100400000000003,2.71093,2.71106,2.0360400000000003,5.39126,4.01509,2.04032,3.18107,2.94085,1.6191,2.02958,5.145519999999999,4.52376,3.4361,6.1708,5.38775,3.01491,4.13469,1
